iso3,area_name,area_type,year_latest_value,gdppc,gr_gdppc_P10,gr_gdppc_P5,gr_gdppc_P3,gr_gdppc_P1
GBR,United Kingdom of Great Britain and Northern Ireland,country,2023,53423.42263382916,.0095063997,.0016567588,.036827154,-.010306287
GEO,Georgia,country,2023,22590.52936491459,.049664602,.055686235,.098738067,.0774564
GHA,Ghana,country,2023,6808.537750039638,.019846648,.017771384,.020167107,.011902515
GIN,Guinea,country,2023,3904.82395527998,.033724125,.02474189,.024531471,.029749891
GMB,Gambia,country,2023,2963.598734674361,.014255324,.022510478,.031242862,.035072539
GNB,Guinea-Bissau,country,2023,2660.814446556563,.019543242,.023103535,.027057372,.02307407
GNQ,Equatorial Guinea,country,2023,15302.15178351468,-.073675647,-.053700164,-.036147412,-.096299544
GRC,Greece,country,2023,36700.51346310555,.01780623,.023211844,.063780345,.024347149
GRD,Grenada,country,2023,17093.15628674474,.024745701,.0015079412,.052811038,.043765906
GRL,Greenland,country,2023,71037.53722396232,.014258564,.012111369,.012032481,.0050404314
GTM,Guatemala,country,2023,12380.37151219961,.018588392,.020380843,.037147902,.019423751
GUY,Guyana,country,2023,49312.36032254444,.1527952,.30597198,.36865625,.33031484
HIC,High income,benchmark,2023,57813.42350324444,.015480288,.013911954,.03261194,.010818408
HKG,"China, Hong Kong Special Administrative Region",country,2023,64387.66540660579,.0060785231,-.0079046879,.016358169,.0054977308
HND,Honduras,country,2023,6467.880035278305,.013716361,.0078696255,.048995592,.018149026
HRV,Croatia,country,2023,41320.25799577197,.03821566,.041431092,.083401315,.036533523
HTI,Haiti,country,2023,2939.123794819903,-.013200831,-.03239841,-.029012799,-.029921094
HUN,Hungary,country,2023,40333.25468881178,.033927422,.024143584,.037465785,-.0068381992
IDN,Indonesia,country,2023,13889.94950128581,.032153305,.025241591,.038867395,.041672662
IND,India,country,2023,8870.550276093447,.047681022,.034339961,.072680384,.062674783
IRL,Ireland,country,2023,117659.728593716,.069157518,.047902454,.049468551,-.043474566
IRN,Iran (Islamic Republic of),country,2023,17044.81734426405,.014670416,.02097033,.034817565,.040717434
IRQ,Iraq,country,2023,13202.3228073856,-.0037874794,-.017983045,.009643022,-.017201487
ISL,Iceland,country,2023,69268.12214042238,.014926106,.0075755473,.045472771,.040355232
ISR,Israel,country,2023,47671.24769260859,.017457047,.017163761,.035563584,-.0095802033
ITA,Italy,country,2023,52842.62888317576,.012145441,.013745847,.051093858,.0097316094
JAM,Jamaica,country,2023,11398.81203946411,.014814414,.013947537,.048396856,.027231082
JOR,Jordan,country,2023,10308.78219863369,-.013453997,.0024577731,.014525308,.01479593
JPN,Japan,country,2023,47387.21725425233,.0090511255,.0053790244,.023383733,.012128356
KAZ,Kazakhstan,country,2023,34703.23492866036,.014071705,.014266883,.027277455,.035723258
KEN,Kenya,country,2023,5691.825134744166,.025070891,.025533784,.040178973,.036442585
KGZ,Kyrgyzstan,country,2023,6575.775412904989,.019545186,.020138957,.058937024,.071012504
KHM,Cambodia,country,2023,6695.291947637226,.042415008,.020456165,.029908013,.036684778
KIR,Kiribati,country,2023,3175.024757289033,.029125156,.020021245,.037970506,.015300271
KNA,Saint Kitts and Nevis,country,2023,30616.57728138599,.01442166,.00026363033,.046200864,.029133352
KOR,Republic of Korea,country,2023,54029.3434990785,.023788029,.020424051,.030489309,.015043713
KWT,Kuwait,country,2023,47790.19332391438,-.026413579,-.015313889,-.010801052,-.069865279
LAO,Lao People's Democratic Republic,country,2023,8372.155918744065,.034317274,.014907425,.015458757,.023112122
LBN,Lebanon,country,2023,11330.26873874222,-.036284335,-.070041604,-.032411605,-.012591526
LBR,Liberia,country,2023,1616.923733566953,-.0092573548,-.003797075,.025934201,.024018964
LBY,Libya,country,2023,12476.59749440825,-.027901821,-.053045474,.077311531,.089654043
LCA,Saint Lucia,country,2023,23636.02659402529,.012731135,.0075717038,.1107394,.03615598
LIC,Low income,benchmark,2023,2365.062993033993,.0034916182,-.0047992566,-.0047791675,-.01287728
LKA,Sri Lanka,country,2023,13065.06983057223,.0064646886,-.024098348,-.02012329,-.013887349
LMC,Lower middle income,benchmark,2023,8575.834068293392,.033012792,.023520639,.049388152,.040879227
LSO,Lesotho,country,2023,2592.457012952601,-.011636686,-.018517468,.0098800762,.0057854475
LTU,Lithuania,country,2023,46333.90069652061,.036141157,.024585146,.024345195,-.0066184355
LUX,Luxembourg,country,2023,130048.9222731472,.00007820435,-.002571228,.00047027197,-.019022785
